,INM-CM4-8,INM-CM5-0,NorESM2-MM,NorESM2-LM,MIROC6,GFDL-ESM4,MIROC-ES2L,GISS-E2-1-G,FGOALS-g3,MPI-ESM1-2-HR,BCC-CSM2-MR,MPI-ESM1-2-LR,MRI-ESM2-0,CMCC-ESM2,ACCESS-ESM1-5,EC-Earth3,ACCESS-CM2,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G
2037-12-31,294.7265319824219,296.7628173828125,295.9753112792969,295.80877685546875,296.3628,294.80572509765625,296.00583,296.4242858886719,296.2265930175781,296.73596,296.43975830078125,294.6971,295.57672,295.302001953125,295.84067,294.76413,296.99854,295.59793,296.46707,295.7993,296.6230567633773
2038-12-31,295.1977844238281,295.55084228515625,295.6539001464844,295.2890625,296.812,295.9854736328125,297.14166,295.3111877441406,296.30072021484375,296.6685,295.94024658203125,295.34122,296.736,296.26263427734375,296.64612,297.21768,296.37878,295.14255,297.3969,296.5996,298.05776951965674
2039-12-31,294.96942138671875,295.7443542480469,296.8722229003906,296.6402893066406,296.87265,294.9909973144531,296.69086,295.72955322265625,294.4849548339844,295.29172,295.5240783691406,296.05783,296.17767,296.0335998535156,296.72723,297.26663,295.95578,295.01212,296.1993,295.38644,297.7120304214222
2040-12-31,294.4610308085402,295.11376744100494,296.1426649955854,296.8622637186965,296.47653,296.09900069563355,295.50232,296.9270976027397,294.79204444362693,296.65225,296.2476692095195,296.85614,296.59677,296.8680766902558,297.4204,296.1105,297.0131,295.6151,295.35776,294.57938,297.48346040773527
2041-12-31,294.9154052734375,296.2695617675781,296.3200378417969,295.150634765625,296.63663,296.33154296875,295.50592,296.9533386230469,294.75396728515625,296.37866,296.572998046875,296.00174,296.12692,295.3973388671875,295.75333,298.07236,295.65195,295.05722,296.1207,296.92184,297.3494652263279
2042-12-31,295.6856384277344,294.80218505859375,297.0921325683594,296.9000244140625,295.29648,296.27294921875,296.10565,296.068115234375,295.5947265625,295.0525,294.4202575683594,295.4636,295.36765,295.13665771484375,295.8871,297.46106,296.12646,295.04477,296.91425,296.80984,296.53708559174777
2043-12-31,295.32135009765625,296.9132995605469,296.2518005371094,295.71466064453125,294.9139,296.1147155761719,296.3865,297.5959167480469,295.1253967285156,295.65253,296.2631530761719,295.6649,296.02264,296.3979797363281,297.2593,296.44897,297.49667,296.88672,295.84412,295.69742,298.05748071084474
2044-12-31,294.7333987719392,296.47744274400685,296.3907299303029,296.77501195620187,295.92596,294.5369987592305,296.3822,297.25599641146727,295.2540738876552,296.2079,296.3047789691246,295.31256,295.6216,296.8382168704516,296.4616,297.08008,296.72626,297.33966,295.41504,295.97363,298.2543184498226
2045-12-31,295.4462890625,294.3480529785156,296.4916076660156,296.97503662109375,295.46347,294.2192077636719,296.7362,295.9291687011719,295.490478515625,295.10788,295.1096496582031,294.88104,294.87216,295.6607971191406,296.51553,296.41528,296.37704,295.553,296.23642,296.88293,297.1319613323531
2046-12-31,294.9831848144531,296.2276306152344,295.79144287109375,296.0358581542969,296.60953,296.1295166015625,294.76703,296.90570068359375,295.80487060546875,293.76093,295.0661926269531,294.94202,295.51694,296.2001647949219,296.01166,296.2371,297.33273,296.8771,295.70245,296.29572,298.13362189777735
