threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,CNRM-ESM2-1_compound_day_total,EC-Earth3_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,CNRM-ESM2-1_compound_event_total,EC-Earth3_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,EC-Earth3_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,CNRM-ESM2-1_compound_duration_max,EC-Earth3_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,EC-Earth3_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>80,ssp245,2077,33,10,21,7,5,5,17,10,13,8,19,27,6,7,18,55,79,25,0,3,31,10,21,6,4,3,17,10,13,7,17,27,4,5,18,54,78,24,0,3,7,3,5,1,1,1,2,2,3,1,5,5,1,1,2,7,9,5,0,1,7,5,6,6,4,3,10,7,6,7,5,8,4,5,12,16,26,7,0,3,4.43,3.33,4.2,6.0,4.0,3.0,8.5,5.0,4.33,7.0,3.4,5.4,4.0,5.0,9.0,7.71,8.67,4.8,0.0,3.0,18.4,11.5,4.800000000000001,35.20000000000003,17.6,11.5,3.0,33.30000000000003,3.1,2.0,1.0,7.0,7.35,6.0,3.0,12.400000000000006,5.0385,4.615,3.0,8.517
rzsm>0.7_pr>80,ssp245,2078,4,4,7,21,0,14,8,39,30,16,16,15,32,0,50,24,89,14,16,2,4,4,7,18,0,14,8,38,29,15,16,13,29,0,49,24,89,13,14,2,1,1,1,4,0,4,2,4,5,3,3,3,5,0,7,5,3,2,2,1,4,4,7,8,0,6,5,17,7,7,7,5,7,0,10,7,65,7,8,2,4.0,4.0,7.0,4.5,0.0,3.5,4.0,9.5,5.8,5.0,5.33,4.33,5.8,0.0,7.0,4.8,29.67,6.5,7.0,2.0,20.05,15.5,1.8000000000000003,40.100000000000016,19.3,14.0,1.8000000000000003,39.100000000000016,2.8,3.0,0.9000000000000001,5.0,9.15,7.0,1.8000000000000003,10.70000000000001,5.9864999999999995,4.9,1.8000000000000003,7.2500000000000036
rzsm>0.7_pr>80,ssp245,2079,30,21,29,55,1,18,13,5,43,16,32,26,6,32,13,1,65,39,17,11,27,21,28,49,0,17,11,3,43,15,30,25,6,32,13,0,64,38,17,10,5,4,6,8,0,4,3,1,9,4,7,6,1,8,2,0,12,7,3,2,8,7,8,14,0,6,5,3,7,6,9,6,6,7,7,0,30,12,8,5,5.4,5.25,4.67,6.12,0.0,4.25,3.67,3.0,4.78,3.75,4.29,4.17,6.0,4.0,6.5,0.0,5.33,5.43,5.67,5.0,23.65,19.5,4.6000000000000005,44.20000000000002,22.45,19.0,2.7,43.60000000000001,4.6,4.0,0.9000000000000001,8.100000000000001,7.7,7.0,2.7,12.200000000000003,4.363999999999999,4.725,2.7,6.0120000000000005
rzsm>0.7_pr>80,ssp245,2080,32,14,11,44,3,28,28,28,15,22,50,15,13,36,11,15,104,32,5,5,29,12,11,43,3,28,28,28,14,21,49,14,12,36,11,14,103,32,5,5,4,2,2,8,1,5,5,5,3,5,10,2,4,6,2,3,4,6,2,1,11,9,6,7,3,7,9,9,6,7,8,8,5,10,8,7,57,10,3,5,7.25,6.0,5.5,5.38,3.0,5.6,5.6,5.6,4.67,4.2,4.9,7.0,3.0,6.0,5.5,4.67,25.75,5.33,2.5,5.0,25.55,18.5,5.0,44.60000000000001,24.9,17.5,5.0,43.60000000000001,4.0,4.0,1.9000000000000001,6.200000000000003,9.75,7.5,4.800000000000001,10.100000000000001,6.1225000000000005,5.4399999999999995,3.0,7.025
rzsm>0.7_pr>80,ssp245,2081,14,38,11,46,1,8,20,13,29,17,40,13,40,11,80,30,63,7,0,8,12,37,11,45,0,6,19,11,29,15,39,12,39,10,79,29,63,5,0,7,4,5,2,9,0,1,4,5,5,3,5,2,7,3,14,7,11,1,0,1,5,12,8,12,0,6,6,3,7,6,24,7,12,6,19,7,21,5,0,7,3.0,7.4,5.5,5.0,0.0,6.0,4.75,2.2,5.8,5.0,7.8,6.0,5.57,3.33,5.64,4.14,5.73,5.0,0.0,7.0,24.45,15.5,6.4,47.700000000000024,23.4,13.5,4.500000000000001,46.800000000000026,4.45,4.0,0.9000000000000001,9.200000000000003,8.65,7.0,2.7,19.200000000000003,4.743,5.25,1.9800000000000004,7.040000000000001
rzsm>0.7_pr>80,ssp245,2082,34,12,6,38,1,27,20,6,21,10,11,17,38,2,54,15,1,15,23,19,32,9,5,37,0,27,20,5,18,9,11,16,37,0,54,15,0,15,22,18,8,3,1,6,0,7,4,1,3,2,2,4,8,0,8,2,0,3,5,5,6,5,5,11,0,6,8,5,7,6,9,6,8,0,12,8,0,7,6,7,4.0,3.0,5.0,6.17,0.0,3.86,5.0,5.0,6.0,4.5,5.5,4.0,4.62,0.0,6.75,7.5,0.0,5.0,4.4,3.6,18.5,16.0,1.9000000000000001,38.0,17.5,15.5,0.0,37.0,3.6,3.0,0.0,8.0,6.1,6.0,0.0,9.200000000000003,4.195,4.5600000000000005,0.0,6.228000000000001
rzsm>0.7_pr>80,ssp245,2083,41,18,14,27,0,31,5,15,11,12,37,3,18,39,61,25,15,17,13,20,39,18,14,25,0,30,5,15,11,12,37,3,16,38,61,24,14,17,12,20,11,3,3,4,0,4,1,4,3,2,6,1,4,4,8,4,4,2,2,4,7,8,7,12,0,10,5,6,5,7,9,3,7,25,17,7,6,15,7,7,3.55,6.0,4.67,6.25,0.0,7.5,5.0,3.75,3.67,6.0,6.17,3.0,4.0,9.5,7.62,6.0,3.5,8.5,6.0,5.0,21.1,17.5,4.800000000000001,39.2,20.55,16.5,4.800000000000001,38.1,3.7,4.0,1.0,6.200000000000003,8.5,7.0,4.800000000000001,15.200000000000003,5.284000000000001,5.5,3.45,7.708000000000001
rzsm>0.7_pr>80,ssp245,2084,11,22,38,30,0,26,26,26,2,7,5,29,55,21,5,36,134,20,10,9,11,22,37,30,0,24,25,26,0,7,4,29,55,21,5,35,134,20,10,7,3,4,7,8,0,4,3,8,0,1,1,5,8,5,1,7,11,3,2,2,7,8,8,7,0,7,13,7,0,7,4,10,22,7,5,9,43,8,6,4,3.67,5.5,5.29,3.75,0.0,6.0,8.33,3.25,0.0,7.0,4.0,5.8,6.88,4.2,5.0,5.0,12.18,6.67,5.0,3.5,25.6,21.5,4.7,39.700000000000024,25.1,21.5,3.6000000000000005,38.800000000000026,4.15,3.5,0.9000000000000001,8.0,9.1,7.0,3.6000000000000005,13.900000000000013,5.051,5.0,2.9250000000000003,7.133000000000002
rzsm>0.7_pr>80,ssp245,2085,8,16,29,9,19,31,39,10,37,35,44,34,44,18,4,31,66,2,20,20,7,14,28,8,18,30,39,10,37,34,43,33,42,18,4,29,66,2,17,20,2,2,5,2,5,6,9,2,6,5,9,9,8,5,1,4,6,1,4,5,4,12,7,5,7,7,6,7,11,11,7,8,10,6,4,11,25,2,6,6,3.5,7.0,5.6,4.0,3.6,5.0,4.33,5.0,6.17,6.8,4.78,3.67,5.25,3.6,4.0,7.25,11.0,2.0,4.25,4.0,25.8,24.5,7.6000000000000005,44.0,24.95,24.0,6.7,42.1,4.8,5.0,1.9000000000000001,9.0,8.1,7.0,4.0,11.100000000000001,5.04,4.555,3.5900000000000003,7.025
rzsm>0.7_pr>80,ssp245,2086,16,25,17,15,0,7,48,3,28,30,25,32,32,12,6,11,8,18,9,23,15,23,17,14,0,7,46,3,26,30,23,30,31,12,6,10,8,18,8,23,4,5,5,3,0,1,8,1,6,6,6,5,6,2,2,2,2,4,2,5,7,7,5,6,0,7,11,3,6,8,6,8,7,6,3,7,6,8,6,7,3.75,4.6,3.4,4.67,0.0,7.0,5.75,3.0,4.33,5.0,3.83,6.0,5.17,6.0,3.0,5.0,4.0,4.5,4.0,4.6,18.25,16.5,5.7,32.0,17.5,16.0,5.7,30.1,3.75,4.0,1.0,6.0,6.2,6.5,3.0,8.0,4.38,4.55,3.0,6.0
rzsm>0.7_pr>80,ssp245,2087,13,33,19,60,9,0,0,22,25,5,23,15,55,36,5,20,49,16,5,8,13,33,19,56,7,0,0,22,25,5,21,14,54,35,4,20,49,16,5,8,2,8,5,10,2,0,0,4,5,2,3,3,10,10,1,4,3,3,1,2,7,6,6,9,5,0,0,9,7,3,9,6,13,8,4,8,23,6,5,4,6.5,4.12,3.8,5.6,3.5,0.0,0.0,5.5,5.0,2.5,7.0,4.67,5.4,3.5,4.0,5.0,16.33,5.33,5.0,4.0,20.9,17.5,4.500000000000001,49.60000000000001,20.3,17.5,3.6000000000000005,49.50000000000001,3.9,3.0,0.9000000000000001,10.0,6.9,6.0,2.7,9.400000000000006,4.8375,4.835,2.2500000000000004,6.550000000000001
rzsm>0.7_pr>80,ssp245,2088,19,40,10,23,11,15,31,23,32,3,27,26,29,22,37,19,60,3,19,7,18,40,10,22,11,13,30,23,32,3,24,25,28,22,34,19,59,2,19,7,4,7,2,4,2,4,6,5,9,1,4,4,6,6,5,5,6,1,5,2,7,9,8,7,6,5,7,7,8,3,8,13,7,7,13,5,22,2,6,4,4.5,5.71,5.0,5.5,5.5,3.25,5.0,4.6,3.56,3.0,6.0,6.25,4.67,3.67,6.8,3.8,9.83,2.0,3.8,3.5,22.8,22.5,6.6000000000000005,37.300000000000004,22.05,22.0,6.6000000000000005,34.60000000000001,4.4,4.5,1.9000000000000001,6.100000000000001,7.7,7.0,3.9000000000000004,13.0,4.797,4.635,3.225,6.305000000000001
rzsm>0.7_pr>80,ssp245,2089,29,35,3,27,3,11,4,34,33,36,28,54,45,36,49,7,131,23,10,12,28,35,2,27,2,8,4,34,33,34,24,54,44,35,49,6,131,23,9,12,5,5,1,7,1,4,1,5,3,7,4,10,7,8,6,3,10,5,3,3,8,12,2,6,2,2,4,11,13,7,8,12,18,6,14,2,36,7,4,8,5.6,7.0,2.0,3.86,2.0,2.0,4.0,6.8,11.0,4.86,6.0,5.4,6.29,4.38,8.17,2.0,13.1,4.6,3.0,4.0,30.5,28.5,3.9000000000000004,49.50000000000001,29.7,27.5,3.8000000000000003,49.50000000000001,4.9,5.0,1.0,8.200000000000003,9.1,7.5,2.0,14.400000000000006,5.302999999999999,4.73,2.0,8.453000000000005
rzsm>0.7_pr>80,ssp245,2090,45,21,25,22,0,8,28,16,25,17,23,26,15,17,40,29,62,15,9,29,45,21,25,22,0,7,27,16,22,17,21,26,14,17,37,29,61,14,9,27,7,4,4,5,0,2,5,3,3,5,4,4,3,3,6,6,4,3,3,5,14,7,9,7,0,4,7,8,9,5,6,7,7,6,13,7,41,7,4,10,6.43,5.25,6.25,4.4,0.0,3.5,5.4,5.33,7.33,3.4,5.25,6.5,4.67,5.67,6.17,4.83,15.25,4.67,3.0,5.4,23.6,22.5,8.9,40.50000000000001,22.85,21.5,8.8,37.80000000000001,3.95,4.0,2.9000000000000004,6.0,8.9,7.0,4.0,13.100000000000001,5.4350000000000005,5.29,3.36,6.583000000000001
rzsm>0.7_pr>80,ssp245,2091,10,13,0,9,2,10,15,25,37,48,37,27,39,17,5,22,111,31,19,4,10,12,0,8,2,10,15,25,37,48,34,27,39,17,4,21,110,31,18,4,2,2,0,2,1,2,3,4,6,6,7,4,7,5,1,6,9,8,2,2,7,8,0,6,2,6,7,12,8,12,7,11,9,5,4,4,32,9,15,2,5.0,6.0,0.0,4.0,2.0,5.0,5.0,6.25,6.17,8.0,4.86,6.75,5.57,3.4,4.0,3.5,12.22,3.88,9.0,2.0,24.05,18.0,3.8000000000000003,39.90000000000001,23.6,17.5,3.8000000000000003,39.90000000000001,3.95,3.5,1.0,7.100000000000001,8.3,7.0,2.0,12.300000000000004,5.13,5.0,2.0,8.100000000000001
rzsm>0.7_pr>80,ssp245,2092,38,13,7,53,7,10,0,37,45,32,38,0,17,28,20,14,93,36,8,27,36,12,5,52,7,7,0,37,43,31,38,0,17,25,20,14,93,36,8,27,9,3,2,8,1,1,0,5,6,4,7,0,4,5,3,3,8,6,2,5,6,5,3,11,7,7,0,18,17,17,9,0,6,10,10,6,32,12,6,7,4.0,4.0,2.5,6.5,7.0,7.0,0.0,7.4,7.17,7.75,5.43,0.0,4.25,5.0,6.67,4.67,11.62,6.0,4.0,5.4,26.15,23.5,6.300000000000001,45.80000000000001,25.4,22.5,4.500000000000001,43.90000000000001,4.1,4.0,0.9000000000000001,8.0,9.45,7.0,2.7,17.1,5.3180000000000005,5.415,2.2500000000000004,7.4350000000000005
rzsm>0.7_pr>80,ssp245,2093,28,23,2,72,3,30,23,41,11,28,14,12,24,21,65,40,58,22,32,4,26,23,2,70,3,30,22,41,11,28,14,12,23,18,63,40,57,21,32,3,5,4,1,12,1,6,5,7,1,4,4,3,5,5,10,9,5,4,6,1,8,9,2,13,3,7,7,9,11,14,6,6,8,6,14,8,29,8,10,3,5.2,5.75,2.0,5.83,3.0,5.0,4.4,5.86,11.0,7.0,3.5,4.0,4.6,3.6,6.3,4.44,11.4,5.25,5.33,3.0,27.65,23.5,3.9000000000000004,58.70000000000001,26.95,23.0,3.0,57.60000000000001,4.9,5.0,1.0,9.100000000000001,9.05,8.0,3.0,14.0,5.3229999999999995,5.1,3.0,7.400000000000006
rzsm>0.7_pr>80,ssp245,2094,37,21,11,20,0,10,19,22,40,13,15,8,18,20,58,24,63,10,1,9,37,20,9,20,0,10,18,22,40,13,15,7,18,20,57,24,61,9,0,8,7,4,3,4,0,2,4,5,5,3,5,3,4,6,7,5,10,3,0,2,8,7,4,7,0,7,7,7,14,7,6,3,7,6,27,7,19,5,0,6,5.29,5.0,3.0,5.0,0.0,5.0,4.5,4.4,8.0,4.33,3.0,2.33,4.5,3.33,8.14,4.8,6.1,3.0,0.0,4.0,20.95,18.5,7.300000000000001,41.800000000000026,20.4,18.0,6.300000000000001,41.700000000000024,4.1,4.0,1.8000000000000003,7.0,7.7,7.0,2.7,14.500000000000007,4.185999999999999,4.45,2.0970000000000004,6.290000000000003
rzsm>0.7_pr>80,ssp245,2095,15,33,11,38,0,23,16,12,3,27,53,32,37,45,59,14,106,5,11,0,15,30,8,37,0,22,15,12,2,27,53,31,35,44,59,13,105,4,11,0,4,6,2,7,0,5,2,3,1,4,8,6,7,8,7,3,10,2,3,0,7,8,5,7,0,7,8,6,2,10,8,7,12,13,24,7,31,2,4,0,3.75,5.0,4.0,5.29,0.0,4.4,7.5,4.0,2.0,6.75,6.62,5.17,5.0,5.5,8.43,4.33,10.5,2.0,3.67,0.0,27.0,19.5,2.7,53.60000000000001,26.15,18.5,1.8000000000000003,53.60000000000001,4.4,4.0,0.9000000000000001,8.0,8.4,7.0,1.8000000000000003,14.100000000000016,4.6955,4.7,1.8000000000000003,7.593000000000001
rzsm>0.7_pr>80,ssp245,2096,16,11,0,42,7,0,26,36,2,6,18,13,25,41,22,3,65,5,2,17,15,9,0,41,7,0,25,36,2,6,18,13,23,40,20,3,65,5,2,17,4,1,0,6,2,0,4,8,1,1,3,2,5,6,3,1,3,1,1,3,5,9,0,13,4,0,12,7,2,6,10,10,8,10,7,3,32,5,2,9,3.75,9.0,0.0,6.83,3.5,0.0,6.25,4.5,2.0,6.0,6.0,6.5,4.6,6.67,6.67,3.0,21.67,5.0,2.0,5.67,17.85,14.5,1.8000000000000003,41.1,17.35,14.0,1.8000000000000003,40.1,2.75,2.5,0.9000000000000001,6.0,7.7,7.0,1.8000000000000003,12.100000000000001,5.4805,5.335,1.8000000000000003,7.047000000000003
rzsm>0.7_pr>80,ssp245,2097,39,11,26,21,3,14,47,24,31,23,32,17,29,9,40,6,7,8,0,27,37,11,25,20,2,14,45,24,28,23,29,17,27,9,40,6,6,8,0,27,7,2,5,4,1,4,7,4,5,3,6,4,6,2,7,1,2,2,0,5,11,6,8,6,2,5,10,7,7,11,8,6,7,6,14,6,4,6,0,8,5.29,5.5,5.0,5.0,2.0,3.5,6.43,6.0,5.6,7.67,4.83,4.25,4.5,4.5,5.71,6.0,3.0,4.0,0.0,5.4,20.7,22.0,5.7,39.1,19.9,21.5,5.6000000000000005,37.300000000000004,3.85,4.0,1.0,7.0,6.9,6.5,3.8000000000000003,11.0,4.709,5.0,2.9000000000000004,6.043
rzsm>0.7_pr>80,ssp245,2098,17,9,9,27,0,25,2,15,30,6,28,35,4,22,14,29,65,27,3,23,15,8,8,26,0,25,2,13,29,5,26,35,4,22,13,25,65,27,3,23,3,2,2,5,0,5,1,3,6,2,5,6,1,4,4,4,3,6,1,4,8,5,4,7,0,7,2,6,7,3,8,7,4,7,6,10,55,7,3,10,5.0,4.0,4.0,5.2,0.0,5.0,2.0,4.33,4.83,2.5,5.2,5.83,4.0,5.5,3.25,6.25,21.67,4.5,3.0,5.75,19.5,19.5,2.9000000000000004,30.500000000000007,18.7,18.5,2.9000000000000004,29.60000000000001,3.35,3.5,1.0,6.0,8.3,7.0,2.9000000000000004,10.0,5.0905000000000005,4.665,2.45,5.872000000000001
rzsm>0.7_pr>80,ssp245,2099,0,22,10,51,11,24,6,13,29,28,31,38,33,31,10,35,84,41,6,4,0,22,10,51,10,23,6,12,29,28,30,38,31,30,10,34,83,41,6,2,0,5,2,8,2,5,2,3,7,5,8,8,5,5,4,8,11,8,2,1,0,7,6,16,5,13,4,5,6,10,9,7,12,11,4,6,22,8,4,2,0.0,4.4,5.0,6.38,5.0,4.6,3.0,4.0,4.14,5.6,3.75,4.75,6.2,6.0,2.5,4.25,7.55,5.12,3.0,2.0,25.35,26.0,5.800000000000001,42.000000000000014,24.8,25.5,5.6000000000000005,42.000000000000014,4.95,5.0,1.9000000000000001,8.0,7.85,6.5,3.8000000000000003,13.300000000000004,4.362,4.5,2.45,6.218
rzsm>0.8_pr>50,ssp245,2015,50,101,81,32,0,29,23,39,35,24,16,70,61,84,24,34,125,38,22,22,49,100,80,29,0,29,20,39,34,22,15,67,60,84,23,33,125,37,22,20,6,15,11,8,0,6,5,8,7,4,2,9,9,17,4,6,10,6,4,4,20,13,11,6,0,6,7,10,8,7,9,17,11,12,9,7,29,7,6,8,8.17,6.67,7.27,3.62,0.0,4.83,4.0,4.88,4.86,5.5,7.5,7.44,6.67,4.94,5.75,5.5,12.5,6.17,5.5,5.0,45.5,34.5,21.400000000000002,85.70000000000002,44.4,33.5,19.5,85.60000000000002,7.05,6.0,3.8000000000000003,11.400000000000006,10.15,8.5,6.0,17.300000000000004,5.838500000000001,5.5,3.962,7.567000000000001
rzsm>0.8_pr>50,ssp245,2016,3,60,47,27,18,44,15,11,2,37,31,27,27,126,72,46,131,41,51,46,2,59,46,25,18,42,14,11,2,35,31,25,27,126,70,46,130,41,50,45,1,11,7,5,4,7,3,3,1,7,7,4,6,15,13,8,16,4,7,10,2,12,14,8,8,13,6,6,2,7,8,8,9,17,10,14,24,23,22,11,2.0,5.36,6.57,5.0,4.5,6.0,4.67,3.67,2.0,5.0,4.43,6.25,4.5,8.4,5.38,5.75,8.12,10.25,7.14,4.5,43.1,39.0,10.200000000000001,77.40000000000008,42.25,38.0,10.100000000000001,75.60000000000008,6.95,7.0,2.8000000000000003,13.200000000000003,11.2,9.5,5.6000000000000005,22.1,5.474500000000001,5.18,3.503,8.148
rzsm>0.8_pr>50,ssp245,2017,29,12,41,57,6,38,44,69,0,50,48,38,56,38,17,82,41,22,6,119,29,11,40,57,6,38,42,69,0,49,47,37,53,36,16,82,38,21,6,119,4,2,7,9,1,7,9,10,0,6,10,7,9,6,3,15,7,5,2,11,13,6,8,16,6,9,6,13,0,25,10,11,17,13,7,9,9,9,4,27,7.25,5.5,5.71,6.33,6.0,5.43,4.67,6.9,0.0,8.17,4.7,5.29,5.89,6.0,5.33,5.47,5.43,4.2,3.0,10.82,40.65,39.5,6.0,70.30000000000001,39.8,38.0,6.0,70.30000000000001,6.5,7.0,1.9000000000000001,10.100000000000001,10.9,9.0,5.800000000000001,17.80000000000001,5.6045,5.484999999999999,4.08,7.342000000000001
rzsm>0.8_pr>50,ssp245,2018,95,62,29,13,4,12,53,59,38,4,37,31,62,29,29,79,53,62,0,0,94,60,28,13,3,11,52,59,37,4,34,26,61,28,28,79,51,60,0,0,13,9,5,2,1,3,9,8,9,2,4,5,13,6,6,10,5,9,0,0,16,12,10,8,3,6,13,14,9,2,20,7,9,7,9,15,19,17,0,0,7.23,6.67,5.6,6.5,3.0,3.67,5.78,7.38,4.11,2.0,8.5,5.2,4.69,4.67,4.67,7.9,10.2,6.67,0.0,0.0,37.55,34.0,3.6000000000000005,63.700000000000024,36.4,31.0,2.7,62.800000000000026,5.95,5.5,0.9000000000000001,10.300000000000004,9.8,9.0,1.8000000000000003,17.200000000000003,5.222,5.4,1.8000000000000003,7.960000000000001
rzsm>0.8_pr>50,ssp245,2019,77,56,54,4,13,62,29,40,42,17,23,31,27,76,16,10,63,43,19,12,76,55,50,3,12,62,28,38,40,17,20,29,27,75,12,10,61,43,19,12,10,6,10,1,3,10,7,6,8,3,5,4,4,14,3,2,7,6,3,4,15,32,10,3,6,17,6,13,8,10,7,12,9,11,7,6,23,8,12,4,7.6,9.17,5.0,3.0,4.0,6.2,4.0,6.33,5.0,5.67,4.0,7.25,6.75,5.36,4.0,5.0,8.71,7.17,6.33,3.0,35.7,30.0,11.8,64.30000000000001,34.45,28.5,11.8,63.30000000000002,5.8,5.5,2.9000000000000004,10.0,10.95,9.5,5.800000000000001,17.60000000000001,5.677,5.515000000000001,3.9000000000000004,7.711000000000001
rzsm>0.8_pr>50,ssp245,2020,40,54,113,31,6,45,42,45,27,25,28,34,88,68,26,0,84,48,50,19,40,52,113,30,6,44,42,44,27,25,28,32,85,68,25,0,83,47,50,18,8,9,13,6,1,9,7,8,5,5,7,6,14,9,7,0,9,6,7,4,11,8,34,8,6,7,9,11,7,7,6,9,13,20,6,0,32,16,11,7,5.0,5.78,8.69,5.0,6.0,4.89,6.0,5.5,5.4,5.0,4.0,5.33,6.07,7.56,3.57,0.0,9.22,7.83,7.14,4.5,43.65,41.0,17.700000000000003,84.4,42.95,41.0,16.8,83.2,7.0,7.0,3.7,9.400000000000006,11.4,8.5,6.0,21.200000000000017,5.624,5.45,3.957,7.916000000000001
rzsm>0.8_pr>50,ssp245,2021,9,79,94,57,0,3,21,59,8,69,58,31,123,39,13,81,7,39,0,24,9,78,91,57,0,2,20,56,8,67,56,30,119,38,13,80,7,38,0,24,2,12,15,8,0,1,3,8,1,12,14,6,11,5,2,12,3,10,0,5,5,14,12,18,0,2,7,17,8,9,7,10,37,15,7,14,3,6,0,7,4.5,6.5,6.07,7.12,0.0,2.0,6.67,7.0,8.0,5.58,4.0,5.0,10.82,7.6,6.5,6.67,2.33,3.8,0.0,4.8,40.7,35.0,2.7,82.30000000000001,39.65,34.0,1.8000000000000003,81.10000000000002,6.5,5.5,0.9000000000000001,12.200000000000003,9.9,7.5,1.8000000000000003,17.1,5.247999999999999,5.825,1.8000000000000003,7.640000000000001
rzsm>0.8_pr>50,ssp245,2022,27,5,17,88,0,50,22,45,32,9,52,67,94,83,59,79,46,68,5,60,26,5,16,86,0,50,21,44,30,8,51,66,92,82,57,77,45,67,4,58,6,2,3,8,0,8,4,6,4,2,7,8,10,16,5,11,9,11,1,7,5,3,6,34,0,14,6,11,16,5,15,17,20,8,34,12,16,8,4,13,4.33,2.5,5.33,10.75,0.0,6.25,5.25,7.33,7.5,4.0,7.29,8.25,9.2,5.12,11.4,7.0,5.0,6.09,4.0,8.29,45.4,48.0,5.0,83.5,44.25,47.5,4.9,82.4,6.4,6.5,1.9000000000000001,11.0,12.35,11.5,3.9000000000000004,21.40000000000002,6.2440000000000015,6.17,3.85,9.355000000000002
rzsm>0.8_pr>50,ssp245,2023,40,38,42,48,50,43,20,6,60,39,48,79,74,52,25,56,58,95,27,50,39,37,40,47,48,42,18,5,60,38,47,78,73,51,25,56,58,92,27,48,7,6,9,9,8,12,5,1,8,7,10,10,13,9,5,7,5,12,4,7,10,10,9,11,13,6,6,5,17,13,14,13,12,12,7,12,34,25,16,11,5.57,6.17,4.44,5.22,6.0,3.5,3.6,5.0,7.5,5.43,4.7,7.8,5.62,5.67,5.0,8.0,11.6,7.67,6.75,6.86,47.5,48.0,24.5,74.5,46.45,47.0,24.3,73.5,7.7,7.5,4.9,12.0,12.8,12.0,6.0,17.80000000000001,6.105,5.645,4.356000000000001,7.82
