center,variable,base,ssp,percentile,months,access-cm2,access-esm1-5,bcc-csm2-mr,cesm2,cesm2-waccm,cmcc-cm2-sr5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,fgoals-g3,gfdl-cm4,gfdl-cm4_gr2,gfdl-esm4,giss-e2-1-g,iitm-esm,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc-es2l,miroc6,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,noresm2-lm,noresm2-mm,taiesm1
GISS,rzsm,"[1950, 2014]",ssp245,0.3,,0.243554,0.2433,,0.243486,0.243451,0.243492,0.243537,0.24327,0.243351,0.243235,0.243505,0.243484,0.24349,0.243647,0.243218,0.243364,0.2437,0.243642,,0.242603,0.243642,,0.24329,0.243619,0.243315,0.243548,0.243397,0.243383
GISS,rzsm,"[1950, 2014]",ssp245,0.7,,0.245975,0.246156,,0.245982,0.246102,0.246177,0.246121,0.245959,0.246069,0.246207,0.246083,0.245968,0.245917,0.24616,0.245929,0.246133,0.24609,0.245965,,0.245047,0.246171,,0.246353,0.246315,0.246021,0.245846,0.246417,0.246123
GISS,rzsm,"[1950, 2014]",ssp245,0.8,,0.24672,0.246997,,0.246878,0.246947,0.246954,0.246903,0.246833,0.246864,0.247187,0.246975,0.246741,0.246694,0.247007,0.24684,0.246989,0.246808,0.246713,,0.245819,0.246937,,0.247316,0.247083,0.246921,0.246727,0.247352,0.246978
GISS,rzsm,"[1950, 2014]",ssp245,0.9,,0.247792,0.248331,,0.248256,0.24799,0.248022,0.248003,0.248095,0.248074,0.248483,0.248094,0.247944,0.247857,0.248201,0.248243,0.248093,0.247956,0.247972,,0.247006,0.247985,,0.248596,0.248176,0.248206,0.247921,0.248736,0.248142
GISS,rzsm,"[1950, 2014]",ssp245,0.95,,0.248891,0.249384,,0.249354,0.248835,0.249039,0.249039,0.249251,0.249145,0.249658,0.248948,0.249078,0.249001,0.249288,0.249344,0.249114,0.249062,0.248953,,0.247906,0.248797,,0.249555,0.249027,0.249236,0.248793,0.249684,0.249153
GISS,rzsm,"[1950, 2014]",ssp245,0.98,,0.2503992,0.250479,,0.2506752,0.250013,0.250063,0.2501532,0.25065940000000003,0.2504204,0.2510032,0.2497922,0.2504612,0.2505268,0.2505348,0.25076940000000003,0.2504512,0.25029440000000003,0.249957,,0.249029,0.2497964,,0.2508356,0.2501966,0.2504744,0.2498888,0.250909,0.2502704
GISS,rzsm,"[1981, 2020]",ssp245,0.02,,0.23912254,0.23983126,,0.23993336,0.24024717999999998,0.24037,0.24004608,0.24019008,0.239893,0.2401319,0.24075454,0.23975454,0.23992308,0.2401289,0.2406818,0.23934136,0.2404389,0.2401879,,0.23942,0.2402,,0.24005817999999998,0.24015818,0.24030669999999998,0.24003372,0.240161,0.23990672000000002
GISS,rzsm,"[1981, 2020]",ssp245,0.05,,0.23999935,0.24063545,,0.24091645,0.24108345,0.241078,0.24135045000000002,0.24119115,0.2409078,0.24100845,0.24159245000000001,0.24056445,0.24072645,0.24126045000000002,0.24133845,0.24050145,0.241102,0.2412058,,0.240331,0.2410859,,0.24083045,0.24096345000000002,0.2412779,0.2410938,0.24095045,0.240656
GISS,rzsm,"[1981, 2020]",ssp245,0.1,,0.2410719,0.2414639,,0.2418934,0.24196589999999998,0.2419069,0.242071,0.24216,0.241787,0.2418477,0.2422939,0.2414879,0.24167,0.242004,0.2418989,0.24135489999999998,0.241911,0.2422479,,0.241099,0.2420179,,0.2417089,0.2418299,0.2420599,0.2422028,0.2416469,0.2415489
GISS,rzsm,"[1981, 2020]",ssp245,0.2,,0.242568,0.2426008,,0.24294079999999998,0.242838,0.242985,0.242997,0.2430216,0.242825,0.24285679999999998,0.2431718,0.24268979999999998,0.242749,0.242996,0.242664,0.242541,0.24311059999999998,0.24326979999999998,,0.241965,0.2430368,,0.242927,0.242889,0.2431008,0.243274,0.242729,0.242578
